    72.00000  6.38876E+00  0.00000E+00  6.02255E-01  5.78651E+00
#
#                       P.E. =    73.00     n,l -        E,l             R_int
#                                           2 0 -    29.91 1       2.04510E-01
#                                           2 1 -    52.99 0      -1.16268E-01
#                                           2 1 -    52.99 2      -4.36099E-01
#
    73.00000  6.28643E+00  0.00000E+00  6.03443E-01  5.68298E+00
#
#                       P.E. =    74.00     n,l -        E,l             R_int
#                                           2 0 -    30.91 1       2.03265E-01
#                                           2 1 -    53.99 0      -1.14152E-01
#                                           2 1 -    53.99 2      -4.29257E-01
#
    74.00000  6.18479E+00  0.00000E+00  6.04287E-01  5.58051E+00
#
#                       P.E. =    75.00     n,l -        E,l             R_int
#                                           2 0 -    31.91 1       2.01993E-01
#                                           2 1 -    54.99 0      -1.12099E-01
#                                           2 1 -    54.99 2      -4.22529E-01
#
    75.00000  6.08394E+00  0.00000E+00  6.04810E-01  5.47913E+00
#
#                       P.E. =    76.00     n,l -        E,l             R_int
#                                           2 0 -    32.91 1       2.00696E-01
#                                           2 1 -    55.99 0      -1.10105E-01
#                                           2 1 -    55.99 2      -4.15915E-01
#
    76.00000  5.98395E+00  0.00000E+00  6.05031E-01  5.37892E+00
#
#                       P.E. =    77.00     n,l -        E,l             R_int
#                                           2 0 -    33.91 1       1.99378E-01
#                                           2 1 -    56.99 0      -1.08169E-01
#                                           2 1 -    56.99 2      -4.09412E-01
#
    77.00000  5.88487E+00  0.00000E+00  6.04968E-01  5.27991E+00
#
#                       P.E. =    78.00     n,l -        E,l             R_int
#                                           2 0 -    34.91 1       1.98042E-01
#                                           2 1 -    57.99 0      -1.06288E-01
#                                           2 1 -    57.99 2      -4.03020E-01
#
    78.00000  5.78678E+00  0.00000E+00  6.04639E-01  5.18214E+00
#
#                       P.E. =    79.00     n,l -        E,l             R_int
#                                           2 0 -    35.91 1       1.96691E-01
#                                           2 1 -    58.99 0      -1.04460E-01
#                                           2 1 -    58.99 2      -3.96737E-01
#
    79.00000  5.68973E+00  0.00000E+00  6.04061E-01  5.08566E+00
#
